Fundo Santa Isabel;664875;5612398;281;
La Esperanza;664735;5616280;263;
Fundo San Miguel;664567;5608037;472;
Calcufilo;664400;5538749;310;
Fundo Esperanza;664126;5615419;195;
Fundo Centinela;663823;5543369;218;
Fdo. Cocule;663435;5533726;346;
Fundo Molco;663236;5544146;199;
Fundo Maco - Molco;662597;5593388;107;
Fundo Paico;662291;5616060;612;
Fundo Santa Gema;662202;5532903;362;
Pichoy;662196;5602861;484;
Fundo Radimadi;662136;5537662;234;
Fundo Pailapifil;661101;5612554;500;
Fundo San Javier de Cocule;660895;5534778;335;
Fdo.Los Corrales-Cudaco;660775;5581335;172;
Las Mercedes;660700;5539431;585;
Fundo Huillinco;660635;5617455;254;
Fdo. El Laurel Bajo;660559;5535987;283;
"Las Cumbres de Pichoy Parcela Bernardo O""higgins";659998;5603318;158;
Fundo Pichoy;659720;5603011;484;
Piedra Blanca;659035;5583741;120;
Fundo Arique - Los Pinos;655199;5585689;123;
Los Robles;654539;5608559;115;
Las Parras;654072;5586582;107;
San Jos?;638341;5428703;149;
Quilanto;666184;5457205;229;
Fundo El Gato;646323;5407333;118;
Fundo Hue?o Hue?o;711296;5427466;705;
La Engorda y Los Radales;651874;5452013;244;
Campo Lindo;665045;5448580;168;
Fdo. Llanquihue;665600;5432400;194;
Fundo Los Bajos;676391;5453877;122;
Fdo. Los Coligues;637148;5457380;289;
Colegual Chico;657583;5430739;103;
Fundo Nueva Braunau;662853;5427232;239;
Fundo  Die Blume;675737;5452976;106;
Los Zanjones;695129;5463049;133;
Los Laureles;657424;5489600;967;
Los Ulmos;702332;5457076;229;
Fundo Millaray;623542;5424525;289;
Fundo La Florida;642608;5406294;415;
Fundo Millacura;647212;5479512;132;
Rio Lindo;680870;5472893;122;
Fundo Desague;667536;5428696;213;
Fundo Holsacia;619489;5406052;177;
Campo Lindo;668692;5481810;196;
Fundo Boquinegro;613251;5404847;488;
Fundo Los Pellines;654803;5486530;255;
Fundo Buen Retiro;646690;5476597;435;
Los Leones;663658;5485564;333;
Pufayo;669808;5521624;410;
El Remanso;614323;5403770;254;
Huentelelfu;660432;5489395;195;
Los Alamos;661552;5491068;222;
San Jos?;682487;5469925;419;
Pellinada;663797;5485936;141;
Antimahuida;650862;5504986;880;
Santa Isabel;642272;5410379;152;
Quisquelelfun;660427;5489409;117;
El Huinque;685354;5471629;321;
Los Negros;680038;5503545;476;
Fundo Forrahue - Los Pellines;653893;5477140;145;
Chifin;651529;5485281;474;
Rio Claro;655138;5500406;214;
Fundo Los Venados;680220;5463598;265;
Parc.16 Chacayal;659642;5517013;124;
Chan Chan;668014;5481301;124;
Tres Esteros;672933;5490425;124;
Millacura;649660;5479110;408;
Cuinco;656974;5512642;163;
Melihuisco;673593;5519962;804;
Quilacoyan;657891;5529786;485;
Westfalia;689619;5497262;422;
Campo Sur;657431;5490638;117;
Fundo El Calabozo;667502;5477385;741;
San Luis;667023;5516732;251;
San Jorge;703843;5493472;402;
Parcela 2 Los Maitenes;676757;5502046;115;
El Coigue;692781;5499644;115;
Las Tinajas;655694;5495768;222;
La Ensenada;632556;5373235;198;
Termas de Puyehue;725652;5490465;260;
Lololhue;647331;5529144;144;
Remehue;667773;5510940;226;
Fundo Miramonte;634069;5409636;249;
La Capilla;690063;5501088;369;
Copihue;665880;5503717;317;
Los Esteros;635963;5406727;219;
INIA Remehue;683892;5512705;496;
Fundo El Copihue;635502;5409785;307;
El Ciruelillo;677361;5485968;356;
Las Vertientes;684697;5494557;154;
Cunquillar;679844;5506021;597;
Panguirruca;700601;5485673;274;
San Luis;644627;5517043;384;
Fundo Santa Clara;631612;5414795;163;
Gol Gol;727221;5491511;185;
Las Quemas;660182;5502229;429;
Los Arcos;633919;5398935;119;
Amancay;716964;5484898;304;
Rinconada;636088;5467645;313;
El Coihue;693890;5501060;150;
Moncopulli;685551;5505724;514;
Las Juntas;649513;5401771;136;
Huillin;699317;5489949;888;
Los Chilcos;661757;5494679;144;
Dos Esteros;647287;5496743;164;
Pichidamas;682832;5489936;165;
El Huinca;684755;5502485;229;
El Calabozo;649732;5498183;176;
El Cardal;696596;5492744;189;
Fundo Barro Blanco (Ca?al Bajo).;665865;5506250;135;
Fundo Rinconada;634926;5468798;548;
Fundo Caracol;619851;5412881;101;
Santa Carmen;674697;5510604;152;
Tarragona;695813;5497311;481;
Fundo Las Encinas;647689;5469868;279;
Quebrada Honda;686319;5493757;146;
Inia La Pampa;655183;5476000;487;
Fundo Oromo;657475;5472963;416;
Lumaco;642963;5498680;551;
Los Leones;676974;5498770;496;
Bellavista;695879;5499634;401;
El Gavil?n;692365;5486027;137;
Antillanca;671024;5524685;278;
Fundo Crucero Viejo;638966;5470540;925;
Fundo Coihueco;646021;5462721;118;
Copiuco (Don Horacio);684689;5491917;366;
Fundo La Paloma;634336;5423802;216;
Fundo Santa Maria;651915;5421980;154;
Fdo Linea Pantanosa;672260;5452901;290;
Bellavista;659910;5508993;283;
Fundo El Mirador;664377;5448121;146;
Fundo Casa del Medio;654297;5452431;237;
Fundo Rigi;750482;5450591;179;
Fundo Paso La Botella;662673;5449096;151;
